DBuid	StrainName	Date added	DNA	DNAextractNo	Species	Strain Background	Modifications	Source	Other notes (all are in ca. 15% glycerol)
I71	LBW2pc.1	23.8.2007	23.8.2007	3	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. Stored at -20 for 2 days then -80.
I72	LBW2pc.SM	23.8.2007	23.8.2007	4	yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). -20 for 2 days then -80.
I73	LBW2qc.1	23.8.2007	23.8.2007	5	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. Stored at -20 for 2 days then -80.
I74	LBW2qc.SM	23.8.2007	23.8.2007	6	yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). -20 for 2 days then -80.
I75	negative	23.8.2007	23.8.2007	7	none	na	none	Douda Bensasson	lab negative from methyl-alpha-D-glucopyranoside
I76	+A2EC1.1dd1a	23.8.2007	23.8.2007	8	S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3	Douda Bensasson	diploid, in YPD, KanMX was removed at LoxP sites and pSH47 was subsequently was lost
I77	+A2EC1.1dd1b	23.8.2007	23.8.2007	9	S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3	Douda Bensasson	diploid, in YPD, KanMX was removed at LoxP sites and pSH47 was subsequently was lost
I78	+A2EC2.1dd2a	23.8.2007	23.8.2007	10	S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3	Douda Bensasson	diploid, in YPD, KanMX was removed at LoxP sites and pSH47 was subsequently was lost
I79	+A2EC2.1dd2b	23.8.2007	23.8.2007	11	S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3	Douda Bensasson	diploid, in YPD, KanMX was removed at LoxP sites and pSH47 was subsequently was lost
I80	+E2EC1.2dd3b	23.8.2007	23.8.2007	12	S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3	Douda Bensasson	diploid, in YPD, KanMX was removed at LoxP sites and pSH47 was subsequently was lost
I81	+E2EC1.2dd3c	23.8.2007	23.8.2007	13	S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	CBS 8841 CEN3	Douda Bensasson	diploid, in YPD, KanMX was removed at LoxP sites and pSH47 was subsequently was lost
K01	dd-ve	23.8.2007	23.8.2007	14	none	na	none	Douda Bensasson	plate negative from no colony part of +E2EC1.2dd3c
K02	Liti274	23.8.2007	23.8.2007	15	other yeast-like species (not S. paradoxus or S. cerevisiae)	unknown	none	Gianni Liti via Richard Harrison	previously thought this was S. cerevisiae Y55
K03	UFRJ50791	23.8.2007	23.8.2007	16	S. cariocanus Brazil	unknown	none	Gianni Liti via Richard Harrison	from Drosophila. Sanger sequenced. Previosuly thought this was S. cerevisiae DBVPG1373
K04	UFRJ50816	23.8.2007	23.8.2007	17	S. cariocanus Brazil	unknown	none	Gianni Liti via Richard Harrison	from Drosophila. Sanger sequenced. Previosuly thought this was S. cerevisiae DBVPG1788
K05	KPN3829	23.8.2007	23.8.2007	18	S. paradoxus Siberia	unknown	none	Gianni Liti via Richard Harrison	from oak. Sanger sequenced.  Previously thought this was S. cerevisiae YPS606
K06	Liti19	23.8.2007	23.8.2007	19	other yeast-like species (not S. paradoxus or S. cerevisiae)	unknown	none	Gianni Liti via Richard Harrison	previously thought this was S. paradoxus N17
K07	Liti18	23.8.2007	23.8.2007	20	other yeast-like species (not S. paradoxus or S. cerevisiae)	unknown	none	Gianni Liti via Richard Harrison	previously thought this was S. paradoxus CBS5829
K08	Liti238	23.8.2007	23.8.2007	22.00	S. cerevisiae?	unknown	none	Gianni Liti via Richard Harrison	previously thought this was S. paradoxus T21.4
K09	Liti138	23.8.2007	23.8.2007	23	other yeast-like species (not S. paradoxus or S. cerevisiae)	lab strain	none	Gianni Liti via Richard Harrison	previously thought this was S. cerevisiae S288C
K10	KPN3828	23.8.2007	23.8.2007	24	S. paradoxus Siberia	unknown	none	Gianni Liti via Richard Harrison	from oak. Sanger sequenced.  Previously thought this was S. cerevisiae YPS128
K11	S288C	19.9.2007	yes		S. cerevisiae California	unknown	none	Gianni Liti via Richard Harrison	rotting fig. Lab strain. Sanger sequenced. Finished sequence.
K12	Y55	19.9.2007	yes		S. cerevisiae France	unknown	none	Gianni Liti via Richard Harrison	wine. Lab strain. Sanger sequenced.
K13	N17	19.9.2007	yes		S. paradoxus Russia	unknown	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced
K14	CBS5829	19.9.2007	yes		S. paradoxus Denmark	unknown	none	Gianni Liti via Richard Harrison	soil. Sanger sequenced
K15	DBVPG4650	19.9.2007	yes		S. paradoxus Italy	unknown	none	Gianni Liti via Richard Harrison	guano. Sanger sequenced
K16	YPS606	19.9.2007	yes		S. cerevisiae Pennsylvania	unknown	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced
K17	YPS128	19.9.2007	yes		S. cerevisiae Pennsylvania	unknown	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced
K18	SCR1.1	19.9.2007	yes		yeast-like	unknown	none	Douda Bensasson	smooth white colony
K19	SCR1.2	19.9.2007	yes		yeast-like	unknown	none	Douda Bensasson	smooth translucent colony
K20	SCR1.3	19.9.2007	yes		yeast-like	unknown	none	Douda Bensasson	crusty colony (more than one type here?)
K21	SCR1.4	19.9.2007	yes		yeast-like	unknown	none	Douda Bensasson	crusty colony (more than one type here?)
K22	negative	19.9.2007	yes		none	unknown	none	Douda Bensasson	SCR-ve 14.9.2007
K23	Q69.8	19.9.2007	19.9.2007	13	S. paradoxus Berkeshire	unknown	none	Gianni Liti via Richard Harrison	Amend Q96.8. Sanger sequenced
K24	Q74.4	19.9.2007	19.9.2007	14	S. paradoxus Berkeshire	unknown	none	Gianni Liti via Richard Harrison	Sanger sequenced
K25	Z1.1	19.9.2007	19.9.2007	15	S. paradoxus Berkeshire	unknown	none	Gianni Liti via Richard Harrison	soil. Sanger sequenced
K26	?Q69.8	12.9.2007	13.9.07	1	S. paradoxus Berkeshire	unknown	none	Gianni Liti via Richard Harrison	labelled as K11
K27	?Q74.4	12.9.2007	13.9.07	2	S. paradoxus Berkeshire	unknown	none	Gianni Liti via Richard Harrison	labelled as K12
K28	?Z1.1	12.9.2007	13.9.07	3	S. paradoxus Berkeshire	unknown	none	Gianni Liti via Richard Harrison	labelled as K13
K29	LBW2qa.1	25.9.2007	27.9.2007	17	S. paradoxus Peak District	wild 	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
K30	LBW2qa.2	25.9.2007	27.9.2007	18	S. paradoxus Peak District	wild 	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
K31	LBW2qa.3	25.9.2007	27.9.2007	19	S. paradoxus Peak District	wild 	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
K32	LBW2qa.4	25.9.2007	27.9.2007	20	S. paradoxus Peak District	wild 	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
K33	LBW2qb.1	25.9.2007	27.9.2007	21	S. paradoxus Peak District	wild 	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
K34	LBW2qb.2	25.9.2007	27.9.2007	22	S. paradoxus Peak District	wild 	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
K35	LBW2qb.3	25.9.2007	27.9.2007	23	S. paradoxus Peak District	wild 	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
K36	LBW2q-ve	25.9.2007	27.9.2007	24	none	none	none	Douda Bensasson	from non-colony part of methyl-alpha-D-glucopyranoside plate.
K37	N43	8.10.2007	10.10.2007		S. paradoxus Far East	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
K38	UWOPS91-917.1	8.10.2007	10.10.2007		S. paradoxus Hawaii	wild	none	Gianni Liti via Richard Harrison	flux, myoporum. Sanger sequenced. from -80 96 well plate to YPD plate.
K39	SK1	8.10.2007	10.10.2007		S. cerevisiae USA	lab strain	?	Gianni Liti via Richard Harrison	soil. Sanger sequenced. from -80 96 well plate to YPD plate.
K40	W303	8.10.2007	10.10.2007		S. cerevisiae	lab strain	?	Gianni Liti via Richard Harrison	Eurofan 64/A. Sanger sequenced. from -80 96 well plate to YPD plate.
K41	YJM978	8.10.2007	10.10.2007		S. cerevisiae Bergamo, Italy	wild	none	Gianni Liti via Richard Harrison	Clinical isolate, vaginal. Sanger sequenced. from -80 96 well plate to YPD plate.
K42	YJM981	8.10.2007	10.10.2007		S. cerevisiae Bergamo, Italy	wild	none	Gianni Liti via Richard Harrison	Clinical isolate, vaginal. Sanger sequenced. from -80 96 well plate to YPD plate.
K43	YJM975	8.10.2007	10.10.2007		S. cerevisiae Bergamo, Italy	wild	none	Gianni Liti via Richard Harrison	Clinical isolate, vaginal. Sanger sequenced. from -80 96 well plate to YPD plate.
K44	322134S	8.10.2007	10.10.2007		S. cerevisiae RVI, Newcastle UK	wild	none	Gianni Liti via Richard Harrison	Clinical isolate, throat sputum. Sanger sequenced. from -80 96 well plate to YPD plate.
K45	378604X	8.10.2007	10.10.2007		S. cerevisiae RVI, Newcastle UK	wild	none	Gianni Liti via Richard Harrison	Clinical isolate, sputum. Sanger sequenced. from -80 96 well plate to YPD plate.
K46	273614X	8.10.2007	10.10.2007		S. cerevisiae RVI, Newcastle UK	wild	none	Gianni Liti via Richard Harrison	Clinical isolate, fecal. Sanger sequenced. from -80 96 well plate to YPD plate.
K47	DBVPG1788	8.10.2007	10.10.2007		S. cerevisiae Finland	wild	none	Gianni Liti via Richard Harrison	soil. Sanger sequenced. from -80 96 well plate to YPD plate.
K48	DBVPG1373	8.10.2007	10.10.2007		S. cerevisiae Netherlands	wild	none	Gianni Liti via Richard Harrison	soil. Sanger sequenced. from -80 96 well plate to YPD plate.
K49	YIIc17_E5	8.10.2007	10.10.2007		S. cerevisiae Sauternes, France	wild	no growth in minimal media	Gianni Liti via Richard Harrison	wine. Sanger sequenced. from -80 96 well plate to YPD plate.
K50	DBVPG6040	8.10.2007	10.10.2007		S. cerevisiae Netherlands	wild	none	Gianni Liti via Richard Harrison	fermenting fruit juice. Sanger sequenced. from -80 96 well plate to YPD plate.
K51	NCYC361	8.10.2007	10.10.2007		S. cerevisiae Ireland	wild	none	Gianni Liti via Richard Harrison	Beer spoilage strain from wort. Ex S. diastaticus. Sanger sequenced. from -80 96 well plate to YPD plate.
K52	YS2	8.10.2007	10.10.2007		S. cerevisiae Australia	wild	none	Gianni Liti via Richard Harrison	Baker strain. Sanger sequenced. from -80 96 well plate to YPD plate.
K53	YS4	8.10.2007	10.10.2007		S. cerevisiae Netherlands	wild	none	Gianni Liti via Richard Harrison	Baker strain. Sanger sequenced. from -80 96 well plate to YPD plate.
K54	YS9	8.10.2007	10.10.2007		S. cerevisiae Singapore	wild	none	Gianni Liti via Richard Harrison	Baker strain. Sanger sequenced. from -80 96 well plate to YPD plate.
K55	UWOPS03-461.4	8.10.2007	10.10.2007		S. cerevisiae Malaysia	wild	none	Gianni Liti via Richard Harrison	Nectar, Bertam palm. Sanger sequenced. from -80 96 well plate to YPD plate.
K56	UWOPS05-217.3	8.10.2007	10.10.2007		S. cerevisiae Malaysia	wild	none	Gianni Liti via Richard Harrison	Nectar, Bertam palm. Sanger sequenced. from -80 96 well plate to YPD plate.
K57	UWOPS05-227.2	8.10.2007	10.10.2007		S. cerevisiae Malaysia	wild	none	Gianni Liti via Richard Harrison	Trigona, Bertam palm. Sanger sequenced. from -80 96 well plate to YPD plate.
K58	K11	8.10.2007	10.10.2007		S. cerevisiae Japan	wild 	none	Gianni Liti via Richard Harrison	Sochu Sake. Sanger sequenced. from -80 96 well plate to YPD plate.
K59	Y9	8.10.2007	10.10.2007		S. cerevisiae Japan	wild 	none	Gianni Liti via Richard Harrison	Ragi, similar to sake wine. Sanger sequenced. from -80 96 well plate to YPD plate.
K60	negative	8.10.2007	10.10.2007		none	none	none	Gianni Liti via Richard Harrison	no growth
K61	DBVPG1853	16.10.2007	17.10.2007		S. cerevisiae Ethiopia	wild 	none	Gianni Liti via Richard Harrison	White Tecc. Sanger sequenced. from -80 96 well plate to YPD plate.
K62	Y12	16.10.2007	17.10.2007		S. cerevisiae Africa	wild	none	Gianni Liti via Richard Harrison	Palm wine. Sanger sequenced. from -80 96 well plate to YPD plate.
K63	NCYC110	16.10.2007	17.10.2007		S. cerevisiae West Africa	wild	none	Gianni Liti via Richard Harrison	Ginger beer from Z. officinale. Sanger sequenced. from -80 96 well plate to YPD plate.
K64	DBVPG6044	16.10.2007	17.10.2007		S. cerevisiae West Africa	wild	none	Gianni Liti via Richard Harrison	Bili wine. Ex S. manginii. Sanger sequenced. from -80 96 well plate to YPD plate.
K65	DBVPG6765	16.10.2007	17.10.2007		S. cerevisiae	wild	none	Gianni Liti via Richard Harrison	Ex S. boulardii. Sanger sequenced. from -80 96 well plate to YPD plate.
K66	L-1374	16.10.2007	17.10.2007		S. cerevisiae Chile	wild	none	Gianni Liti via Richard Harrison	wine. Sanger sequenced. from -80 96 well plate to YPD plate.
K67	L-1528	16.10.2007	17.10.2007		S. cerevisiae Chile	wild	none	Gianni Liti via Richard Harrison	wine. Sanger sequenced. from -80 96 well plate to YPD plate.
K68	UWOPS87-2421	16.10.2007	17.10.2007		S. cerevisiae Hawaii	wild	none	Gianni Liti via Richard Harrison	Cladode, Opuntia megacantha. Sanger sequenced. from -80 96 well plate to YPD plate.
K69	DBVPG1106	16.10.2007	17.10.2007		S. cerevisiae Australia	wild	none	Gianni Liti via Richard Harrison	grapes. Sanger sequenced. from -80 96 well plate to YPD plate.
K70	UWOPS83-787.3	16.10.2007	17.10.2007		S. cerevisiae Bahamas	wild	none	Gianni Liti via Richard Harrison	fruit, Opuntia stricta. Sanger sequenced. from -80 96 well plate to YPD plate.
K71	negative	16.10.2007	17.10.2007		none	none	none	Gianni Liti via Richard Harrison	no growth
K72	N44	30.10.2007	31.10.2007		S. paradoxus Far East	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
K73	N45	30.10.2007	31.10.2007		S. paradoxus Far East	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
K74	CBS432?	30.10.2007	31.10.2007		S. paradoxus Russia?	wild	none	Gianni Liti via Richard Harrison	oak? Sanger sequenced. from -80 96 well plate to YPD plate.
K75	T21.4	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
K76	Y7	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
K77	Q32.3	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
K78	Q59.1	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
K79	Q95.3	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
K80	S36.7	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
K81	Y6.5	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L01	Q62.5	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L02	Q89.8	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L03	Y9.6	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L04	W7	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L05	Q31.4	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L06	Y8.5	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L07	Z1	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L08	Y8.1	30.10.2007	31.10.2007		S. paradoxus Berkeshire	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L09	YPS138	30.10.2007	31.10.2007		S. paradoxus Pennsylvania	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L10	DBVPG6304	30.10.2007	31.10.2007		S. paradoxus California	wild	none	Gianni Liti via Richard Harrison	Drosophila. Sanger sequenced. from -80 96 well plate to YPD plate.
L11	A4	30.10.2007	31.10.2007		S. paradoxus Canada	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L12	A12	30.10.2007	31.10.2007		S. paradoxus Canada	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L13	IFO1804	30.10.2007	31.10.2007		S. paradoxus Japan	wild	none	Gianni Liti via Richard Harrison	oak. Sanger sequenced. from -80 96 well plate to YPD plate.
L14	negative	30.10.2007	31.10.2007		none	none	none	Gianni Liti via Richard Harrison	from -80 96 well plate to YPD plate. No growth in YPD, but 3 small yeast-like colonies on plate, while other negatives were clear.
L15	RM11-1a	5.2.2008	6.2.2008		S. cerevisiae California	MATa leu2D0 ura3D0 HO:kan	none	Richard Harrison: d74 in the Delneri collection	Brem et al 2002: haploid derived from Bb32(3), a natural isolate collected by Robert Mortimer, as in (Mortimer et al 1994 Yeast).
L16	RM11-1a	5.2.2008	6.2.2008		S. cerevisiae California	MATa leu2D0 ura3D0 HO:kan	none	Richard Harrison: d74 in the Delneri collection	Brem et al 2002: haploid derived from Bb32(3), a natural isolate collected by Robert Mortimer, as in (Mortimer et al 1994 Yeast).
L17	YIIc17_E5	5.2.2008	6.2.2008		S. cerevisiae Sauternes, France	wild	no growth in minimal media	Gianni Liti via Richard Harrison	from K49 at -20. wine. Sanger sequenced. from -80 96 well plate to YPD plate.
